text,index,speaker,date,title
"I'd like to thank everyone for joining us today to celebrate the achievements of Texas community partnerships. I am so excited to be a part of this important milestone, marking the end of the pilot round of Advance Together and to announce a second round for this initiative.",0,Governor Michelle W. Bowman,7/24/2024,Opening Remarks
"Back in 2021, during the depths of COVID, I took part in the Dallas Fed's Advance Together launch event, welcoming the awardees into the initiative and looking ahead to their success. This is truly a special opportunity to recognize the progress and achievements of the four participating partnerships, each representing their diverse communities and regions in the great state of Texas.",1,Governor Michelle W. Bowman,7/24/2024,Opening Remarks
"Advance Together is an accelerator program for regional publicâprivateânonprofit partnerships seeking to improve education and employment outcomes for lower-income communities in Texas. The Dallas Fed and the Federal Reserve System are focused on reducing and removing barriers to education attainment and workforce development to foster a strong, resilient economy.",2,Governor Michelle W. Bowman,7/24/2024,Opening Remarks
"As the nation's central bank, the Federal Reserve Board is focused on our dual mandate of price stability and maximum employment. When we think about maximum employment, we also need to consider how to foster an inclusive economy that provides economic opportunities for everyone regardless of their circumstances.",3,Governor Michelle W. Bowman,7/24/2024,Opening Remarks
"Every Reserve Bank relies on its community development function to understand the economic circumstances of communities through community initiatives and research. In response to local needs in their respective Districts, each Reserve Bank develops initiatives and focus areas to support these efforts.",4,Governor Michelle W. Bowman,7/24/2024,Opening Remarks
"Collaboration Matters for Better Community Outcomes
Advance Together was designed to address core challenges in education and workforce development. Often, a lack of coordination among key organizations, fragmentation across existing resources, or incomplete approaches that don't fully identify or address the root causes of community issues lead to less successful outcomes.",5,Governor Michelle W. Bowman,7/24/2024,Opening Remarks
"Research from the Boston Fed has found that durable economic success throughout economic cycles is less dependent on factors like industry mix, demographics, or even geographic location. Instead, it is the ability of local leaders to work together across different sectors that leads to economic resilience. Leaders that collaborate with an identified plan and path over a sustained period of time toward a comprehensive vision achieve better outcomes and more inclusive economic growth.",6,Governor Michelle W. Bowman,7/24/2024,Opening Remarks
"A few years ago, the Dallas Fed identified an opportunity in Texas to support community partnerships, specifically in education and workforce development.",7,Governor Michelle W. Bowman,7/24/2024,Opening Remarks
"Working across different sectors and industries brings its own set of unique challenges. Each brings different goals, operations, and even terminology to the discussion.",8,Governor Michelle W. Bowman,7/24/2024,Opening Remarks
"We know that collaboration is necessary, and it is achievable. Advance Together provides the structure, ongoing support, and investment from external partners to support communities in strengthening their collaborative work. It takes time and skill to build deep and trusting partnerships.",9,Governor Michelle W. Bowman,7/24/2024,Opening Remarks
"It also takes time and resources for communities to agree upon a common understanding of complex, local needs like improving college and career readiness or developing pathways to living wage employment.",10,Governor Michelle W. Bowman,7/24/2024,Opening Remarks
"This work requires that all partners move in the same direction, toward those common strategies and goals. When communities collaborate effectively, the results can lead to broader access to economic opportunity.",11,Governor Michelle W. Bowman,7/24/2024,Opening Remarks
"AT Team Introductions
We are here today to celebrate the success of our pilot participants; I'd like to reintroduce each of them:",12,Governor Michelle W. Bowman,7/24/2024,Opening Remarks
"Conclusion
As we begin today's celebration, I'd like to recognize the vision of the Dallas Fed team for creating this incredible opportunity for our partners. I'd also like to thank our Advance Together partnerships for their hard work and progress. I also want to recognize them for the work that they will continue to accomplish in their communities as they move forward. This work is challenging and will continue to build pathways to a more inclusive economy.",13,Governor Michelle W. Bowman,7/24/2024,Opening Remarks
"Earlier this year, we passed the one-year anniversary of the failures of Silicon Valley Bank (SVB) and Signature Bank. The failure of these banks, and the subsequent failure of First Republic Bank, prompted a discussion of the regulatory framework. These failures have also frequently been cited as the basis for a number of matters on the current regulatory reform agenda. Over time, this agenda has expanded to include bank capital regulation, the role of supervision, the potential vulnerabilities to the banking system created by bank-fintech partnerships, and bank liquidity and funding, among other topics.",0,Governor Michelle W. Bowman,7/18/2024,"Liquidity, Supervision, and Regulatory Reform"
"This conference covers a number of important issues that touch on many aspects of this regulatory reform agenda. Earlier today, panelists discussed the 2023 regional banking stress, the history of financial crises, and deposit insurance reform. Tomorrow we will hear about the discount window and a discussion on the future of contingent liquidity. A further panel will consider what may be next in terms of regulatory reforms.",1,Governor Michelle W. Bowman,7/18/2024,"Liquidity, Supervision, and Regulatory Reform"
"In considering this last topic, conferences like this serve an important roleâencouraging us to pause and reflect upon these efforts, and providing an opportunity to share thoughts in full public view about what is working and not working within the bank regulatory framework. These discussions also allow us to consider a range of options to both enhance banking system resiliency and to better prepare for future stress in the system. I am especially pleased that we have an opportunity to publicly confront difficult questions, like probing the link between last year's banking stress and elements of the reform agenda purportedly aimed at addressing identified deficiencies.",2,Governor Michelle W. Bowman,7/18/2024,"Liquidity, Supervision, and Regulatory Reform"
