text,index,speaker,date,title
"I would like to thank the Federal Reserve Bank of New York for establishing this seminar 40 years ago and for maintaining it since then. This event has always been a useful forum for sharing knowledge and experiences among the world's central banks, something that has become especially valuable in the years since the Great Recession. This seminar has also fostered a stronger sense of community among central banks, whose interactions undergird the global financial system.",0,Vice Chairman Stanley Fischer,10/5/2016,Low Interest Rates
"I will talk today about an issue that currently confronts almost all central banks: historically low interest rates. Indeed--as shown in figure 1--in an increasing number of countries, they have even dipped below zero. Ultralow interest rates have not been limited to the short end of the yield curve, which is most directly affected by monetary policy. Figure 2 shows that longer-term interest rates--which embed market participants' expectations of where real short-term rates and inflation are likely to be in the future--have also been exceptionally low.",1,Vice Chairman Stanley Fischer,10/5/2016,Low Interest Rates
"The low interest rate environment presents us with four key questions: (1) Are ultralow interest rates part of the so-called new normal for the global economy, or are they mostly transitory? (2) How concerned should we be, if at all, about the current interest rate environment? (3) What determines the level of interest rates over the longer run? (4) What can policymakers do about chronically low interest rates?",2,Vice Chairman Stanley Fischer,10/5/2016,Low Interest Rates
"The fact that interest rates have remained so low in the United States over the past eight years--well into the recovery from the severe strains of the Great Recession--suggests that ultralow rates may reflect more than just cyclical forces. Here is a simple observation that illustrates this point: The unemployment rate in the United States has dropped from a peak of 10 percent in the aftermath of the Great Recession to just 4.9 percent today. Yet, over the same period, yields on nominal and inflation-indexed 10-year U.S. Treasury securities have fallen around 180 basis points and 140 basis points, respectively. This observation suggests that perhaps structural factors are pulling down what economists often refer to as the longer-run equilibrium or natural rate of interest.",3,Vice Chairman Stanley Fischer,10/5/2016,Low Interest Rates
"Knut Wicksell, the great Swedish economist, emphasized the concept of an equilibrium level of interest rates in his influential work. In his 1898 book, Interest and Prices, he wrote that ""there is a certain level of the average rate of interest which is such that the general level of prices has no tendency to move either upwards or downwards."" In modern language, this level of the interest rate is usually referred to as the natural rate of interest. Applying Wicksell's insights to the circumstances we face today, the fact that both inflation and interest rates have remained very low over the past several years suggests that our current interest rate environment may well reflect, at least in part, a very low level of the natural rate of interest.",4,Vice Chairman Stanley Fischer,10/5/2016,Low Interest Rates
"If we knew the natural rate precisely, conducting monetary policy would be relatively straightforward. Central bankers could easily assess their policy stance--which could be measured, for instance, as the difference between actual and natural interest rates--and adjust it as needed. If only life were that simple! In reality, given that the natural rate of interest cannot be directly observed, Wicksell proposed that the central bank follow a simple interest rate rule. Given that he believed that the sole function of monetary policy should be to pursue price stability, a modern interpretation of Wicksell's rule would suggest that the central bank should raise the interest rate if inflation is above target and reduce the interest rate if inflation is below target. When inflation stabilized, the central bank would know that the interest rate was at its natural level. In principle, this method could be extended to a reaction function that included both an inflation and a maximum-employment objective for the central bank, as is the case for the Federal Reserve.",5,Vice Chairman Stanley Fischer,10/5/2016,Low Interest Rates
"But there is another way of measuring the natural rate of interest. Instead of backing out the value of the natural rate of interest by following Wicksell's rule-based approach, one could try to estimate the natural rate directly with the help of an economic model. One prominent example of this approach is the work of my Federal Reserve colleagues Thomas Laubach and John Williams.",6,Vice Chairman Stanley Fischer,10/5/2016,Low Interest Rates
"Laubach and Williams estimated the natural rate in a small-scale Keynesian model where inflation responds to the gap between actual and potential gross domestic product (GDP) and economic activity is determined by a simple equation that links deviations of actual from potential GDP to the gap between actual and natural interest rates. In their model, as in Wicksell's framework, inflation generally will rise if the interest rate is low relative to the natural rate and fall if the interest rate is high relative to the natural rate. Their empirical results point to the growth rate of potential GDP as an important determinant of the natural rate of interest, a topic that I will discuss shortly.",7,Vice Chairman Stanley Fischer,10/5/2016,Low Interest Rates
"In a recent update to their work--cowritten with another Federal Reserve colleague, Kathryn Holston--Laubach and Williams report that, for the United States as well as other advanced economies, estimates of the natural rate have fallen since the late 1990s, with particularly large declines following the global financial crisis. Their results--summarized in figure 3 --support the informal assessment that chronically low interest rates could well be, at least in part, the result of very low natural interest rates and not just a consequence of the cyclical state of the economy.",8,Vice Chairman Stanley Fischer,10/5/2016,Low Interest Rates
"Now, to our second big question: Having concluded that the natural rate appears to have fallen, how concerned should we be, if at all? We should be concerned because a low natural interest rate can have major economic significance. Let me start elaborating on this point by making two simple observations: First, nothing dictates that the natural rate of interest should be positive; indeed, the natural rate has no effective lower bound. Second, there is an effective lower bound for nominal interest rates (and, consequently, for the actual real rate). Why? Because currency is a government obligation that pays a nominal interest rate of zero and, instead of buying government bills or bonds at a negative interest rate, one can always hold currency.",9,Vice Chairman Stanley Fischer,10/5/2016,Low Interest Rates
